biosample	assembly_accession	host	bioproject	infraspecific_name	assembly_level	genome_rep	ftp_path
SAMD00064326	GCA_003609855.1	Homo sapiens	PRJDB5203	strain=JP080	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/855/GCA_003609855.1_ASM360985v1
SAMD00180477	GCA_008620175.1	Homo sapiens	PRJDB8599	strain=KUH180129	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/620/175/GCA_008620175.1_ASM862017v1
SAMD00180476	GCA_008620055.1	Homo sapiens	PRJDB8599	strain=KUH180062	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/620/055/GCA_008620055.1_ASM862005v1
SAMD00180475	GCA_008619935.1	Homo sapiens	PRJDB8599	strain=KUH180038	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/935/GCA_008619935.1_ASM861993v1
SAMD00180474	GCA_008619795.1	Homo sapiens	PRJDB8599	strain=KUH140331	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/795/GCA_008619795.1_ASM861979v1
SAMD00180473	GCA_008619595.1	Homo sapiens	PRJDB8599	strain=KUH140087	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/595/GCA_008619595.1_ASM861959v1
SAMD00180472	GCA_008619415.1	Homo sapiens	PRJDB8599	strain=KUH140046	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/415/GCA_008619415.1_ASM861941v1
SAMD00180471	GCA_008619235.1	Homo sapiens	PRJDB8599	strain=KUH140013	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/235/GCA_008619235.1_ASM861923v1
SAMD00180470	GCA_008619075.1	Homo sapiens	PRJDB8599	strain=KUN1163	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/075/GCA_008619075.1_ASM861907v1
SAMD00172962	GCA_007185035.1	Equus caballus	PRJDB8385	strain=JRA307	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/185/035/GCA_007185035.1_ASM718503v1
SAMN09484072	GCA_008039755.1	Homo sapiens	PRJNA470993	strain=pt061.2	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/755/GCA_008039755.1_ASM803975v1
SAMN09484033	GCA_008039625.1	Homo sapiens	PRJNA470993	strain=pt105	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/625/GCA_008039625.1_ASM803962v1
SAMN09484024	GCA_008039795.1	Homo sapiens	PRJNA470993	strain=pt097	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/795/GCA_008039795.1_ASM803979v1
SAMN09484001	GCA_008039715.1	Homo sapiens	PRJNA470993	strain=pt081	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/715/GCA_008039715.1_ASM803971v1
SAMN09483982	GCA_008039685.1	Homo sapiens	PRJNA470993	strain=pt062	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/685/GCA_008039685.1_ASM803968v1
SAMN09483981	GCA_008039825.1	Homo sapiens	PRJNA470993	strain=pt061.1	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/825/GCA_008039825.1_ASM803982v1
SAMN09483976	GCA_008039745.1	Homo sapiens	PRJNA470993	strain=pt057	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/745/GCA_008039745.1_ASM803974v1
SAMN09483933	GCA_008039645.1	Homo sapiens	PRJNA470993	strain=pt015	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/645/GCA_008039645.1_ASM803964v1
SAMN09483932	GCA_008039735.1	Homo sapiens	PRJNA470993	strain=pt014	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/735/GCA_008039735.1_ASM803973v1
SAMN09483931	GCA_008039665.1	Homo sapiens	PRJNA470993	strain=pt013	Contig	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/039/665/GCA_008039665.1_ASM803966v1
SAMN11611367	GCA_008462245.1	Homo sapiens	PRJNA542127	strain=GD1706	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/462/245/GCA_008462245.1_ASM846224v1
SAMN11056375	GCA_008693765.1	Homo sapiens	PRJNA231221	strain=FDAARGOS_660	Complete Genome	Full	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/765/GCA_008693765.1_ASM869376v1
